timestamp,x,y,z,w
1456704184615859,0.32019,0.254822,-0.566772,-0.715088
1456704184637877,0.320129,0.254761,-0.566833,-0.715088
1456704184661848,0.320129,0.254761,-0.566833,-0.715088
1456704184676855,0.320129,0.2547,-0.566833,-0.715088
1456704184697894,0.320129,0.2547,-0.566833,-0.715088
1456704184722104,0.320129,0.2547,-0.566833,-0.715088
1456704184736856,0.320068,0.254639,-0.566833,-0.715149
1456704184758209,0.320068,0.2547,-0.566833,-0.715149
1456704184797567,0.319641,0.254639,-0.566833,-0.715393
1456704184798567,0.319641,0.254578,-0.566833,-0.715393
1456704184819568,0.31958,0.254578,-0.566895,-0.715332
1456704184841895,0.31958,0.254578,-0.566895,-0.715332
1456704184859094,0.319824,0.254639,-0.566833,-0.715271
1456704184879606,0.319946,0.254578,-0.566833,-0.715271
1456704184915606,0.319946,0.254578,-0.566833,-0.715271
1456704184939608,0.319885,0.254578,-0.566833,-0.715271
1456704184940608,0.319702,0.2547,-0.56665,-0.715454
1456704184960614,0.319702,0.2547,-0.56665,-0.715454
1456704184976620,0.319702,0.254639,-0.56665,-0.715454
1456704184999622,0.319702,0.254639,-0.56665,-0.715454
1456704185020785,0.319702,0.254578,-0.56665,-0.715454
1456704185036624,0.319702,0.254578,-0.566711,-0.715454
1456704185059630,0.319641,0.254578,-0.566711,-0.715454
1456704185080637,0.319641,0.254578,-0.566711,-0.715454
1456704185096638,0.319641,0.254578,-0.566711,-0.715515
1456704185119639,0.319641,0.254578,-0.566711,-0.715515
1456704185141640,0.319763,0.254639,-0.56665,-0.715454
1456704185156646,0.319885,0.2547,-0.56665,-0.715393
1456704185179653,0.319946,0.254822,-0.566589,-0.715332
1456704185200660,0.319946,0.254883,-0.566589,-0.715332
1456704185222661,0.319946,0.254883,-0.566589,-0.715332
1456704185239850,0.320251,0.255188,-0.566406,-0.715271
1456704185260858,0.320679,0.255737,-0.566101,-0.715088
1456704185282566,0.321228,0.255981,-0.565735,-0.715088
1456704185299365,0.321594,0.255859,-0.565491,-0.715088
1456704185320615,0.321838,0.255676,-0.56543,-0.715088
1456704185342563,0.321838,0.255615,-0.565491,-0.715088
1456704185361119,0.321411,0.25531,-0.56543,-0.715454
1456704185380777,0.321167,0.255005,-0.565308,-0.715759
1456704185402789,0.321106,0.255249,-0.565002,-0.715942
1456704185419789,0.321045,0.255554,-0.564636,-0.716125
1456704185440872,0.32074,0.255432,-0.564453,-0.716431
1456704185463094,0.320374,0.255005,-0.564392,-0.716858
1456704185487605,0.320374,0.2547,-0.564331,-0.71698
1456704185500610,0.32074,0.254883,-0.564026,-0.71698
1456704185522821,0.320801,0.25531,-0.563416,-0.717285
1456704185539607,0.320435,0.255371,-0.562866,-0.717896
1456704185562059,0.320374,0.255005,-0.562622,-0.718201
1456704185583155,0.320984,0.255249,-0.562012,-0.718323
1456704185599824,0.321106,0.255432,-0.561157,-0.718872
1456704185621826,0.320557,0.255249,-0.560486,-0.719666
1456704185642867,0.319946,0.255005,-0.559937,-0.72052
1456704185659864,0.319458,0.254822,-0.559509,-0.721069
1456704185688903,0.319092,0.255066,-0.559082,-0.721558
1456704185702883,0.318542,0.255432,-0.558289,-0.722229
