timestamp,x,y,z
1456704187541209,-0.4375,-1.6875,3.8125
1456704187565100,-1.25,-2.8125,4.4375
1456704187586217,2.375,-0.4375,4.375
1456704187601218,6.125,2.125,1.1875
1456704187624219,4.5,3.125,-2.1875
1456704187646232,4.6875,2.25,-1.25
1456704187663939,11.875,2.1875,1.125
1456704187685157,10.9375,-2.125,2.4375
1456704187707158,-4.8125,2.9375,9.875
1456704187728159,-7.5,3.3125,8.1875
1456704187745160,-10.125,1.9375,-0.0625
1456704187766673,4.625,3,-1.4375
1456704187788179,5.125,2.75,-2.4375
1456704187805180,-0.375,-0.1875,-3.625
1456704187827183,-0.75,-2.4375,0
1456704187847185,0.375,-1.0625,0.75
1456704187864910,1.375,-0.3125,0.5
1456704187886418,1.9375,0.3125,0.1875
1456704187907427,1.9375,1.1875,-0.9375
1456704187924421,2,0.3125,-0.3125
1456704187946424,2.625,-0.4375,-0.6875
1456704187967877,4.125,-0.0625,-1.6875
1456704187984661,4,0.3125,-2.5
1456704188006892,1.375,1.4375,-1.6875
1456704188027900,-0.4375,0.6875,-0.125
1456704188044664,-2.4375,-0.5625,0.5625
1456704188067112,-1.1875,-1.1875,0.0625
1456704188087833,2,-0.125,-1.0625
1456704188104818,3.125,0.75,-1
1456704188126853,0.5625,0.375,-0.625
1456704188147612,-2.25,-0.6875,0.1875
1456704188171861,-2.625,-0.8125,0.3125
1456704188186848,0.8125,0.125,0.25
1456704188208116,2.1875,0.0625,0.125
1456704188224850,0.125,-0.875,0
1456704188246852,-0.5,-0.8125,0
1456704188268093,-0.5625,-0.375,-0.375
1456704188285105,-0.375,-0.9375,-0.5625
1456704188307105,-0.4375,-1.0625,0.1875
1456704188328103,-0.1875,-0.6875,0.4375
1456704188345105,-0.3125,0.375,-0.25
1456704188367104,-0.5625,0.6875,-0.6875
1456704188390118,-1.625,0.25,-0.4375
1456704188411119,-1.3125,-0.625,-0.1875
1456704188427120,-0.5,-0.6875,-0.6875
1456704188449122,0.0625,-0.5,-1.25
1456704188464643,-0.6875,-1.4375,-1.9375
1456704188486161,-3.5625,-4.25,-2.3125
1456704188509162,-5.125,-3.8125,-2.375
1456704188524183,-4.6875,-2.9375,-2.9375
1456704188546165,-4.375,-0.5,-3.8125
1456704188569721,-3.3125,-1.1875,-4.1875
1456704188586204,-3.125,-1.5,-2.8125
1456704188606206,-1.75,-2.0625,-0.625
1456704188629207,0.5625,-2.0625,1.25
1456704188646208,3,0,3.25
1456704188666728,2.8125,3.125,1.3125
1456704188689249,-0.5,1.25,-0.875
1456704188706285,4.375,1.1875,0.75
1456704188726251,11.5625,2.8125,3.125
1456704188749253,4.75,3.125,8.9375
1456704188766810,-5.875,5.4375,8.5625
1456704188785299,-11.875,1.75,3.25
1456704188808300,0.875,0.125,-2.25
1456704188830298,6,0.0625,-0.8125
1456704188845297,1.25,-1.5625,-3.5
1456704188868835,-2.125,-2,-0.9375
1456704188890340,-1.5,-0.75,-0.1875
1456704188905345,0.3125,0.5625,0.0625
1456704188928343,1.1875,0.1875,0.4375
1456704188950348,3,0.1875,-0.3125
1456704188965863,3.4375,0.1875,-0.6875
1456704188988421,1.9375,0.0625,-0.625
1456704189010391,0.3125,-0.125,0.0625
1456704189025392,-0.5625,-0.9375,-0.125
1456704189048424,0.5625,-1.3125,-0.6875
1456704189070909,2.375,-0.1875,-0.875
1456704189085425,2.3125,0.5,-0.6875
1456704189108450,0.875,0.375,-0.625
1456704189130423,-0.3125,-0.25,-0.1875
1456704189145424,0.5,-0.9375,-0.0625
1456704189168944,1.4375,-0.6875,-0.375
1456704189190667,0.5625,0,-0.5
1456704189205659,-0.5625,0.25,0
1456704189228687,-0.375,-0.25,0.0625
1456704189251475,0.5,-1.0625,0.0625
1456704189265911,0.875,-1.125,0.1875
1456704189288669,0.0625,-1.1875,-0.125
1456704189311773,-0.625,-1.1875,-0.6875
1456704189326774,-0.625,-1.375,-0.4375
1456704189348436,0.4375,-1.125,-0.0625
1456704189380730,0.4375,-0.5,0.3125
1456704189386017,-0.625,-0.5,-0.1875
1456704189409067,-1.375,-0.6875,-0.5
1456704189431738,-1.0625,-0.75,0.0625
1456704189445734,-0.5625,-0.3125,0.1875
1456704189468749,-1.3125,-0.875,-0.25
1456704189490967,-2.25,-1.75,-0.25
1456704189507064,-2.1875,-2.4375,-0.5625
1456704189528968,-2.9375,-2.625,-1.5625
1456704189551971,-6,-2.625,-2.5
1456704189568165,-10.5,-1.875,-2.8125
1456704189589062,-12.0625,-1.625,-2.5
1456704189611028,-6.5,-1.4375,-1.6875
1456704189628067,-1.625,-0.4375,2.1875
1456704189649063,-3.5,1.3125,7
1456704189671761,-3.5625,1.875,5.75
1456704189687241,-2.25,-0.25,1.3125
1456704189708467,2.5,-2.6875,0
1456704189730246,8.9375,-3,2.5625
1456704189747247,18.9375,-0.75,-0.6875
1456704189768539,5.9375,3.375,8.625
1456704189791843,-7.25,8,8.625
1456704189807551,-17.6875,3.8125,2.0625
1456704189828849,2.1875,2.5,-3.125
1456704189851559,13,0.6875,-3.5
1456704189866848,8.5,-2.625,-5.875
1456704189889110,1.8125,-3.875,-1.0625
1456704189912102,-1.5,0.5625,1.75
1456704189927858,-2.25,2.4375,1.3125
1456704189948859,-0.5625,1.75,0.375
1456704189971887,2.8125,0.9375,-0.0625
1456704189993894,3.8125,0.75,-0.3125
1456704190009012,2.4375,-0.9375,-1.3125
1456704190030896,1.3125,-1.4375,-1.6875
1456704190053900,-1.0625,-1,-0.875
1456704190076635,-1.8125,-1.0625,-0.125
1456704190091634,-0.8125,-0.375,0.1875
1456704190113550,0.9375,0.375,0.4375
1456704190128549,0.8125,0.4375,0.0625
1456704190151345,-0.625,-0.0625,-0.3125
1456704190173563,-1.3125,-0.875,-0.375
1456704190188078,-0.125,-0.625,0.1875
1456704190211113,0.9375,-0.4375,0.375
1456704190233073,1.0625,0.8125,0.5
1456704190248074,-0.6875,0.875,0.0625
1456704190271586,-1.5625,0.3125,-0.4375
1456704190293091,-0.5625,-0.5625,-0.25
1456704190308092,0.6875,-0.875,-0.125
1456704190331093,0.125,-0.4375,-0.0625
1456704190355094,-0.9375,-0.1875,0.0625
1456704190368985,-1.0625,0.0625,0.375
1456704190392080,0,0.125,0.625
1456704190412998,0.3125,0,0.375
1456704190428998,-0.4375,-0.25,0.25
1456704190451006,-1.1875,-0.5625,-0.0625
1456704190474034,-1.8125,-1,0.4375
1456704190490007,-2.3125,-1.375,0.5
1456704190512009,-4.1875,-1.3125,0.6875
1456704190534071,-6.9375,-2.25,-0.125
1456704190550012,-9.9375,-3.125,-0.9375
1456704190571809,-10.375,-1.625,-2.1875
1456704190593817,-7.5,0.1875,-2
1456704190610818,-1.8125,-0.125,-1.9375
1456704190631819,2.6875,0.25,1.0625
1456704190654071,0.875,-0.875,3.5
1456704190670616,-3,-0.8125,4.6875
1456704190691725,-1.5625,2,4.6875
1456704190713411,1.75,2.8125,1.125
1456704190730413,4.625,2.125,-1.375
1456704190758421,7.8125,-0.4375,2.4375
1456704190774014,11.9375,-0.9375,2.5625
1456704190790939,-4.6875,5.1875,11.1875
1456704190811940,-13.25,4,8.5
1456704190841718,-11.9375,2.1875,-0.3125
1456704190850713,10.125,2.1875,-5
1456704190871766,10.0625,-0.4375,-6.0625
1456704190893711,3.9375,-4.875,-6.5
1456704190910452,-1.125,-4.6875,-2
1456704190931675,-3.625,-0.5625,1.8125
1456704190953784,-2.8125,1.4375,2
1456704190970783,-0.25,1.8125,0.5
1456704190991774,1,1.375,0.3125
1456704191022017,1.1875,0.3125,0.0625
1456704191030785,0.625,-0.8125,-1.0625
1456704191052021,0.875,-1.3125,-1.625
1456704191073705,0.875,-1.25,-0.5625
1456704191090206,1.6875,-0.0625,0.6875
1456704191112207,0.9375,0.5,0.4375
1456704191134209,0.4375,-0.125,-0.1875
1456704191149211,1.125,-0.25,-0.5
1456704191172046,0.6875,0,-0.3125
1456704191193847,-1.1875,0.25,0.4375
1456704191216852,-1.375,-0.25,-0.5625
1456704191231567,-0.375,-0.125,-0.4375
1456704191253852,1,-0.375,-0.125
1456704191276398,1.875,0.4375,0.4375
1456704191291411,0.375,0.5625,0.25
1456704191313408,-1.1875,-0.4375,0
1456704191336409,-1.3125,-0.875,0.125
1456704191351409,-0.25,-0.75,0.25
1456704191373928,0.1875,-0.5625,0.1875
1456704191389762,0.125,0.0625,0.1875
1456704191412764,0.25,0.5625,0.25
1456704191434074,-1,0.0625,0.4375
1456704191449767,-1.375,-0.3125,0.375
1456704191472566,-0.75,-0.4375,0.3125
1456704191501877,-0.6875,-0.1875,0.125
1456704191516876,-0.8125,0,0.375
1456704191532576,-0.125,-0.1875,0.3125
1456704191553804,-0.4375,-1.25,0.0625
1456704191576969,-2.5,-2.125,-1
1456704191592999,-7.5625,-2.75,-1.625
1456704191613996,-13.6875,-1.6875,-2.75
1456704191636997,-17.5625,-2,-2.8125
1456704191652996,-7.125,-1.75,-3.1875
1456704191673722,2.875,-0.3125,-0.125
1456704191696212,1.9375,-1.1875,3.0625
1456704191712227,-1.5,-2.0625,6.0625
1456704191733499,-0.8125,-0.375,5.6875
1456704191757215,-2,0.1875,1.3125
1456704191773090,2.5,-1,-1.875
1456704191794067,10.5625,-1.625,-1
1456704191817041,16.4375,-1.75,-1.6875
1456704191832075,1.375,6.25,7.75
1456704191853049,-13.4375,4.4375,6.125
1456704191876851,-19.375,1.625,0.3125
1456704191893059,7.6875,2.0625,-1.5625
1456704191913062,13.1875,0.9375,-3.5
1456704191937127,8,-3.75,-4.4375
1456704191952063,3.6875,-3.4375,-0.5
1456704191973854,-2.125,0.5625,1.875
1456704191996370,-6.3125,1,1.5625
1456704192012370,-1.875,1,-0.0625
1456704192033668,3.3125,2.125,0.5625
1456704192056378,2.4375,0.5625,0.3125
1456704192072987,-0.6875,-1.75,-0.6875
1456704192093878,-0.625,-2,-1.0625
1456704192116880,1.25,-0.125,-0.5
1456704192132887,0.625,0.3125,-0.3125
1456704192153886,-0.8125,-0.1875,0
1456704192176899,0.25,-0.5,0.125
1456704192192979,1.0625,0.375,0.375
1456704192213980,0.9375,0.5625,-0.0625
1456704192236984,-1.0625,-0.125,-0.375
1456704192258882,-0.875,-0.5625,-0.875
1456704192273399,1.125,-0.25,-0.4375
1456704192296618,1.5,-0.1875,-0.125
1456704192312620,1.1875,-0.5,-0.375
1456704192333956,0.3125,-0.5625,-0.9375
1456704192356629,0.125,-0.4375,-1
1456704192372644,0.4375,-0.9375,-1.0625
1456704192394973,0.9375,-0.75,-0.5625
1456704192416971,2.0625,-0.3125,-0.5625
1456704192433102,0.3125,-0.0625,-0.125
1456704192455047,-1.5,0,-0.125
1456704192476767,-1.375,-0.5,-0.125
1456704192492775,-0.125,-0.625,-0.3125
1456704192515776,0.3125,-0.25,-0.4375
1456704192537041,-0.875,0,0.0625
1456704192552778,-1,-0.6875,0
1456704192575304,-1.125,-1.6875,-0.125
1456704192595810,-3.25,-2,-1
1456704192611966,-8.75,-2.1875,-2.625
1456704192635813,-15.3125,-2.8125,-3.3125
1456704192657032,-14.375,-2.375,-3.5625
1456704192673071,-7.25,-2.0625,-2.5625
1456704192695335,-1.875,-0.6875,0.3125
1456704192716664,-2.5,-1.5,3.375
1456704192738628,-2.5625,-0.3125,4.25
1456704192755339,-1.4375,0.25,2.375
1456704192775850,0.1875,-1.75,0.625
1456704192798947,8.1875,-1.875,1.1875
1456704192815964,17.1875,-0.125,-1.3125
1456704192836964,4.1875,3.125,7.5
1456704192858959,-10.4375,6.8125,8.5
1456704192875861,-19.9375,3.8125,3.1875
1456704192896309,1.875,2.4375,-1.5
1456704192918525,12.0625,0.75,-2.4375
