timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456704146829095,1,-6,1,-4,-2,-3,-5,-2
1456704146829095,8,2,31,-2,-3,-3,-11,-3
1456704146837460,-5,7,-30,-7,-2,-1,1,-1
1456704146837460,-2,-10,-19,4,2,0,1,-2
1456704146846318,6,0,-7,-3,-2,0,0,-2
1456704146846318,-7,-11,-12,-1,-2,-2,-4,-3
1456704146860318,0,8,3,10,-2,-1,1,0
1456704146860318,-8,1,7,-21,-3,-1,-5,-5
1456704146867421,-1,-12,-1,-10,-2,-1,3,2
1456704146867421,-2,6,-9,2,0,-2,-1,-4
1456704146874455,-7,-5,0,-4,-4,-2,-2,-5
1456704146874455,9,-3,-3,10,-2,-1,-1,6
1456704146889455,-20,-1,0,-13,2,-1,-2,-23
1456704146889455,-6,2,15,29,2,0,-8,2
1456704146896321,9,-1,-16,-23,-4,-1,-6,2
1456704146896321,-7,-3,-1,4,-3,-3,-6,-6
1456704146906423,2,-8,-3,-13,-2,-2,13,15
1456704146906423,5,9,0,11,1,-2,-15,-3
1456704146920268,-5,-4,32,4,1,0,7,-5
1456704146920268,-3,-3,-28,2,0,-2,-2,-1
1456704146927269,7,2,-35,-13,-1,-1,-4,0
1456704146927269,-6,-3,15,17,0,-1,-5,-4
1456704146934459,9,-7,-16,-37,-5,-2,2,11
1456704146934459,-9,4,5,12,-3,-1,-1,-6
1456704146949308,1,1,11,-2,1,-1,5,4
1456704146949308,-3,-14,-19,9,-1,-3,2,-5
1456704146957528,-7,-10,-19,-5,-2,-1,-1,0
1456704146957528,9,7,15,25,-1,0,-1,-2
1456704146974310,0,16,6,-13,1,1,-5,2
1456704146974310,-3,-14,-18,-22,-4,0,0,5
1456704146980311,-9,-14,23,10,2,-1,-3,-3
1456704146980311,5,1,-29,-42,-3,0,-1,1
1456704146987311,7,3,9,28,2,2,-9,-5
1456704146987311,-5,15,30,7,0,0,20,4
1456704147003457,-9,-8,-20,-36,-10,-5,-6,-5
1456704147003457,1,1,-9,6,2,0,-7,-1
1456704147009449,0,-2,3,48,-6,-2,17,-4
1456704147009449,2,7,43,112,17,4,0,-9
1456704147017259,-4,-5,-17,-75,-2,-2,-24,1
1456704147017259,10,3,7,19,-6,-4,14,-3
1456704147026261,-6,-3,7,28,3,-1,-7,-6
1456704147026261,7,-13,-2,-52,-8,-2,-1,4
1456704147040426,3,8,-24,-1,-1,-3,8,-4
1456704147040426,-1,-7,37,6,3,-2,-21,-4
1456704147047160,-4,-3,-7,-11,1,1,-4,2
1456704147047160,-7,8,10,5,-1,-1,0,2
1456704147062163,24,0,11,2,0,-3,-20,4
1456704147062163,-12,-1,-13,-34,-3,-1,15,-4
1456704147069214,-5,0,17,37,-3,1,-9,-1
1456704147069214,4,-3,-32,-22,-3,0,-1,8
1456704147077505,-7,17,4,46,-4,0,-4,8
1456704147077505,0,-17,-22,-7,-5,-4,-16,-9
1456704147087163,-8,-14,74,-26,5,-1,11,2
1456704147087163,-6,-12,-101,-75,-16,-7,-16,-2
1456704147100467,-7,8,-5,1,0,1,22,-5
1456704147100467,6,8,38,57,4,3,-21,7
1456704147107504,6,3,9,-45,-2,-1,2,5
1456704147107504,-4,0,36,-35,-6,-7,-13,-13
1456704147122178,-5,0,-20,-9,2,1,1,2
1456704147122178,-1,1,20,85,3,2,9,1
1456704147129180,6,-11,-93,-87,-16,-7,-14,1
1456704147129180,-17,12,89,62,12,0,4,-1
1456704147137216,14,-7,-23,-56,-4,-2,-4,-5
1456704147137216,-9,-5,-16,-4,-2,0,30,14
1456704147146189,15,2,-27,24,1,-1,-18,-11
1456704147146189,-11,11,-15,21,-4,3,44,9
1456704147160189,-1,10,81,68,13,1,2,-7
1456704147160189,-23,-15,-81,-107,-12,-7,-32,-16
1456704147167209,-3,10,15,52,-4,-4,6,-11
1456704147167209,18,-24,-27,-35,-12,-6,-18,44
1456704147182196,-7,10,0,49,2,3,31,-2
1456704147182196,13,-3,9,-8,2,-1,10,3
1456704147191191,-18,-7,12,-10,5,-2,-7,-20
1456704147191191,0,10,-36,7,1,0,-21,-15
1456704147197191,0,-10,-4,-2,-7,-2,4,-6
1456704147197191,-4,2,26,-2,3,0,-8,-11
1456704147206218,-4,-13,-12,3,-2,1,8,13
1456704147206218,1,22,11,-12,2,-1,-1,-11
1456704147220213,27,-24,5,10,-1,-2,-3,23
1456704147220213,2,12,-32,-24,-1,-2,11,-9
1456704147227198,7,4,12,15,1,-1,-9,9
1456704147227198,-11,0,-16,-10,-2,-2,1,-12
1456704147242203,-27,-56,20,8,2,-1,-6,2
1456704147242203,17,6,-7,9,-4,-3,-8,-16
1456704147249203,-15,10,-4,-7,-4,-3,9,-4
1456704147249203,9,13,4,3,3,3,-6,-13
1456704147257204,-2,17,-7,11,0,-2,-14,-2
1456704147257204,-5,-8,16,-2,2,4,47,21
1456704147266205,6,2,-8,3,-2,-1,-7,8
1456704147266205,-1,-7,1,-9,-2,-1,1,-5
1456704147280205,-8,-4,-8,1,-7,-5,-12,-9
1456704147280205,0,-4,11,5,0,-1,-9,7
1456704147287206,-3,14,3,-6,1,-1,-5,-6
1456704147287206,-11,-18,-17,2,-1,-1,-7,6
1456704147304207,18,1,4,19,-1,2,16,-6
1456704147304207,-26,8,-27,-2,-2,-2,-13,-4
1456704147309207,5,-7,12,-33,-7,-3,4,-3
1456704147309207,7,-9,-30,14,-1,-5,-27,-5
1456704147317222,-16,9,29,3,3,0,1,-1
1456704147317222,14,-11,2,-3,-3,-4,-3,-1
1456704147332233,4,0,8,7,3,2,30,-8
1456704147332233,-5,-4,16,-6,-4,0,1,-4
1456704147340234,3,8,-2,9,4,-1,-25,-14
1456704147340234,-9,-8,11,14,-4,-4,-18,6
1456704147347235,-10,1,-16,-12,-2,-2,-15,-3
1456704147347235,21,-12,9,4,0,-1,18,-12
1456704147362261,-10,-1,-10,-5,-2,-2,-11,1
1456704147362261,7,10,-12,-11,0,-1,1,2
1456704147369420,-2,0,-10,13,0,-1,-6,2
1456704147369420,-12,-14,2,-17,-1,-1,-2,-2
1456704147385241,-1,8,-12,3,-1,-1,10,-1
1456704147385241,0,-5,0,-9,-2,-2,-10,-2
1456704147392421,10,-1,18,8,-2,-4,5,6
1456704147392421,-6,11,-4,6,-2,-1,3,-1
1456704147399237,-1,-2,-13,2,-3,-1,-10,-7
1456704147399237,16,0,8,-18,0,3,-3,9
1456704147408238,-15,-4,-14,-8,-3,-3,-6,7
1456704147408238,24,-11,-1,21,0,0,22,-9
1456704147421753,-4,11,-14,-30,-4,-2,6,5
1456704147421753,-3,4,8,14,1,-1,-18,-9
1456704147429249,5,-5,-6,5,0,2,10,1
1456704147429249,-8,0,-9,-21,-3,-3,-11,2
1456704147444269,-1,2,-3,7,-1,-2,-2,-3
1456704147444269,-15,-10,-21,2,-1,-2,8,-10
1456704147451264,9,8,-9,-6,-2,-4,-12,3
1456704147451264,-1,7,-5,2,2,1,17,4
1456704147459265,-6,12,10,1,-1,-2,7,-4
1456704147459265,-13,-25,10,-7,-2,-3,-1,3
1456704147474266,-4,-6,3,13,1,-2,-5,5
1456704147474266,10,3,-16,-13,-5,-1,0,5
1456704147483266,13,-8,-4,-2,-2,0,-5,-4
1456704147483266,-13,4,8,-1,1,-1,5,2
