timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456704055072653,-2,-10,-5,6,-5,-3,-4,-12
1456704055078654,0,1,1,8,0,-1,-6,-4
1456704055078654,3,7,15,2,1,0,5,-2
1456704055086654,-6,9,-31,-11,-2,0,1,-7
1456704055086654,-10,-17,-5,10,1,-2,-8,-1
1456704055095654,-11,-12,-2,-12,-8,-1,11,-1
1456704055095654,8,5,0,-1,-3,-2,3,8
1456704055108655,-12,3,15,-7,-3,-1,-2,-7
1456704055108655,16,8,-10,3,4,1,-6,1
1456704055119367,0,1,-4,1,0,-1,-3,-4
1456704055119367,3,-7,6,28,6,-2,-11,-1
1456704055133402,0,-1,-7,-39,-6,4,8,2
1456704055133402,2,3,1,1,-4,-1,3,-2
1456704055139368,-5,6,21,26,7,0,-7,-2
1456704055139368,-3,-12,-8,-28,-9,-5,-2,-3
1456704055147167,2,-7,4,11,3,-1,-1,2
1456704055147167,-4,3,-4,-5,-2,-3,0,2
1456704055156418,12,-4,-16,-12,-6,-4,-4,-10
1456704055156418,-10,7,13,43,14,-1,-4,-4
1456704055169169,2,-2,-10,-40,-13,-3,-1,1
1456704055169169,1,2,-2,2,-6,-3,-1,2
1456704055179169,-7,7,1,7,3,-2,1,-4
1456704055179169,8,-15,-29,-20,-6,-3,-1,4
1456704055193399,-1,-3,11,9,7,0,0,3
1456704055193399,-1,6,16,23,5,-2,-4,-2
1456704055199364,5,3,-9,-32,-13,-1,-12,-2
1456704055199364,-12,-3,1,-15,-2,-1,20,-5
1456704055207365,1,2,0,43,8,-1,-10,3
1456704055207365,-2,-24,15,-24,-3,-2,16,-1
1456704055216366,-15,5,-2,11,2,0,-7,-2
1456704055216366,5,-4,-17,4,-7,-1,-10,-4
1456704055229178,0,3,3,-21,0,-1,-1,-2
1456704055229178,-2,4,2,9,6,-1,-6,-1
1456704055239184,-9,-4,4,-6,-2,-2,9,4
1456704055239184,-2,3,11,7,0,0,-5,-5
1456704055253364,2,5,-4,-6,-7,-4,3,2
1456704055253364,-1,-3,-8,3,0,1,-8,-2
1456704055259185,-1,-11,-5,-17,-1,-3,-5,2
1456704055259185,0,2,-2,18,-2,1,3,1
