timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456703940896193,-2,-2,-17,7,0,-5,-2,-2
1456703940911194,-1,2,10,9,-4,-3,-2,-1
1456703940911194,-1,5,20,9,4,-1,0,0
1456703940918194,-3,-9,-21,-23,-6,0,-2,0
1456703940918194,0,0,-4,-3,-1,-3,-1,-1
1456703940927699,-1,-2,6,9,1,-3,-1,-2
1456703940927699,-3,-1,-19,-12,-5,-3,1,-2
1456703940933706,0,-2,17,18,-3,-1,1,0
1456703940933706,-1,2,7,-26,19,4,0,0
1456703940948206,0,1,-13,-5,4,5,2,0
1456703940948206,-2,0,28,16,-2,1,1,-1
1456703940956205,-3,2,-13,-11,3,-4,-4,-2
1456703940956205,-3,-1,4,13,-15,-8,-2,-1
1456703940971207,-1,-7,-4,-19,-9,-5,-5,-1
1456703940971207,0,-3,-4,-14,-1,0,0,0
1456703940978207,-2,-2,-15,10,2,-2,-3,-5
1456703940978207,-2,-2,-21,-11,-4,0,1,-1
1456703940987208,0,0,9,0,-2,-3,-1,-1
1456703940987208,0,0,0,11,0,-4,-5,-3
1456703941001209,0,-2,15,21,0,1,1,-1
1456703941001209,-1,-2,-16,-28,-3,-8,-4,-1
1456703941008208,0,-1,-4,-2,-5,-2,-1,-2
1456703941008208,-2,0,-3,0,1,3,0,2
1456703941016208,-1,3,2,0,-2,-3,-4,-3
1456703941016208,-3,-1,22,13,-1,-1,0,-4
1456703941031720,-2,-3,10,-11,1,-1,-2,0
1456703941031720,-1,-1,-5,2,1,-1,-2,-1
1456703941038219,-2,-3,-36,-22,0,0,-1,2
1456703941038219,0,-1,6,3,-1,1,-1,-1
1456703941047219,0,0,8,20,1,0,0,0
1456703941047219,0,0,12,2,-2,-4,-2,-4
1456703941054220,-1,-4,0,-1,-3,-1,-2,2
1456703941054220,-1,0,-9,-3,-1,0,-3,-2
1456703941068221,-2,0,-1,6,-4,-3,0,-1
1456703941068221,-2,-3,-6,-6,-3,-4,-5,-3
1456703941076221,-3,1,-3,-14,-8,-6,-3,-2
1456703941076221,-1,-3,13,7,5,0,0,0
1456703941091222,-3,-3,-13,2,12,3,3,2
1456703941091222,1,-1,-17,-9,-3,-5,-5,-3
1456703941098222,0,-2,8,-3,-7,-1,1,1
1456703941098222,-3,-1,0,14,-2,-2,2,0
1456703941107223,-3,-1,5,-2,2,-2,1,-3
1456703941107223,-2,-2,0,-14,-4,-2,0,1
1456703941121944,-3,-4,-16,-11,0,0,1,0
1456703941121944,-1,1,-6,-8,-6,-6,-6,-3
1456703941128974,3,12,12,14,-3,-3,-3,-3
1456703941128974,-5,-18,3,5,1,5,7,2
1456703941136235,-1,-5,-7,-8,-1,1,-1,-1
1456703941136235,-1,-2,-7,-2,-2,-1,-3,-1
1456703941151235,1,0,0,-3,-3,-2,-7,-3
1456703941151235,1,7,-4,-6,2,-2,-1,-3
1456703941158236,0,-1,35,14,-2,1,1,-2
1456703941158236,1,-6,-41,-16,-4,-3,-3,0
1456703941167237,-3,0,0,-7,-5,-2,-2,-1
1456703941167237,-1,0,7,13,6,0,0,-1
1456703941181237,1,-2,-3,-22,-8,-3,0,0
1456703941181237,0,3,15,11,0,-3,-1,-1
1456703941188238,0,-4,-6,-11,-5,-3,-1,-1
1456703941188238,-2,-1,5,40,-1,1,-2,-2
1456703941196238,0,7,-19,-30,5,1,-2,-2
1456703941196238,-1,-4,15,4,1,2,-2,-2
1456703941211239,-3,-6,-14,6,-6,-1,3,0
1456703941211239,-1,6,18,5,-3,-5,-3,-2
1456703941218239,-1,0,-6,3,0,2,-1,-2
1456703941218239,-1,2,7,-2,2,-1,2,1
1456703941227745,-4,-5,-11,-3,-2,1,0,-3
1456703941227745,0,-2,-9,3,-1,-2,-3,-1
1456703941241251,-1,-1,15,14,-3,-3,-2,0
1456703941241251,1,-2,-6,-44,-7,0,2,0
1456703941248251,-2,-3,-6,24,3,0,-2,-2
1456703941248251,-1,-1,-10,-11,0,2,0,0
